resolve | determination | self-reliance | willfulness | protest 
tether | rope | relationship | support type | knot
taut | tight | tough | skimpy | believable
leery | suspicious | suggestive | wobbly | spacey 
naive | unsophisticated | refreshingly direct | reserved | carefree
hearing | preliminary examination | rehearsal | challenge | possible solution 
jovial | merry | laid-back | pleasingly plump | ruddy 
seascape | picture | wave top | ocean debris | boating accident 
extol | praise | urge | be joyous | acknowledge
troop | move along | attempt | harass | be disorderly
acumen | shrewdness | exactness | potential | assurance 
insipid | not interesting | slow-moving | lacking thoroughness | easygoing
lingo | jargon | pidgin English | enunciation | dance type
mural | wall painting | reflection | prototype | soft sculpture 
concession | admission | courtesy | head injury | addition 
tender | offer | sympathize | hesitate | suggest
decorum | innocence | propriety | decoration style | clutter
ethic | behavior standard | racial group | precision | reliability
anarchy | lawlessness | self-rule | mandate | ignorance 
catnap | short sleep | scented herb | fur piece | smooth surface 
smirk | self-satisfied smile | withering look | laughter burst | pettiness
pigment | coloring substance | skin | farming | size 
refrain | recurring melody | pause | stanza | sustained note 
aspire | aim | animate | end | pretend
nitpicking | detail fussing | stingy | overly cautious | cleanliness obsessed
canopy | hanging cover | jacket | sphere | appetizer
flossy | superficially elegant | confused | colorful | flowery 
glib | speaking easily | satisfied | shrewd | snide 
memento | souvenir | suggestion | report | announcement 
contempt | scorn | skepticism | anger | judgment 
deterrence | preventative | cleanser | warning | disadvantage 
vibrant | vigorous | disturbed | overbearing | wholesome 
pomp | stately display | self-assurance | fame | upswept hair
courier | messenger | favor seeker | weapon | artillery observer
diligent | hard-working | honest | humorless | watchful 
colloquial | conversational | flowery | erroneous | carefully arranged 
swatch | cloth sample | quick blow | petty theft | clothing repair
ovation | applause | event | kindness act | peak point
florid | ornate | artistic | heavy | elegant 
bray | donkey cry | rough edge | barrier | woven trimming
shroud | cover | mourn | alter | tear up
finicky | fussy | unstable | troubled | unpleasant 
agenda | schedule | assignment | addition | common practice 
inviolable | indestructible | unworkable | illegal | questionable
garrison | military post | horse stable | choking execution | square tower
mope | be dejected | wipe away | rebuff | mumble
flick | strike lightly | make scratch | move deceptively | blink rapidly
tariff | tax | payoff | warning | price increase 
certify | verify | claim | issue license | list
sumptuous | lavish | silky | airy | austere
jell | congeal | sustain | soften | quiver
atoll | coral island | arched passageway | volcanic island | life buoy
blathering | foolish talking | crying | gossiping | outrageous
shunt | turn aside | trip up | gently nudge | avoid
sporadic | occasional | impulsive | unreliable | uncertain 
dunce | dull-witted | disobedient | spry | innocent 
sediment | liquid particles | noble feeling | cast-off material | shallow-rooted organism
variable | changeable | different | periodic | diversified 
portray | describe | perceive | mimic | disclose unintentionally
candid | frank | quick | alert | protective 
glut | excessive supply | growing quantity | core | congestion 
vapor | mist | bad odor | prism | wind 
allot | divide shares | take back | straighten up | dispute
trans | separately | across | temporarily | advantageously 
gridlock | traffic jam | computer error | immune reaction | wrestling move 
collateral | loan security | financial statement | piled money | account reconciliation
quandary | perplexing difficulty | decisive thought | open question | slight mistrust
consolidate | combine | complete | distribute | offer
sheer | absolute | trim | strong | pointed 
gnarled | knobby | carelessly made | smooth | hacked up
bovine | cowlike | savage | casual | outlandish 
plausible | apparently believable | workable | positively true | somewhat evasive 
pang | sudden pain | pungent odor | violent jolt | annoying twitch 
vegetate | be passive | health conscious | avoid meat | rest
ashen | pale grayish | flexible | lacking self-confidence | trembling
hinterland | back country | prairie | mountain range | fantasy island 
jubilant | joyful | dejected | boisterous | charming 
gulch | small ravine | untimely error | choking act | plateau
jeopardy | danger | venture | gamble | challenge 
lore | knowledge | fascination | trap | feeling 
mulch | ground covering | garden path | organic fertilizer | seed mixture 
ally | partner | rival | equal | relative
punctual | on time | apt | loyal | attentive 
belittle | disparage | joke | fit comfortably | shrink
compassion | sympathy | congeniality | spirituality | tolerance 
surge | wavy movement | fill | retreat rapidly | pull aside
asteroid | tiny planet | robot | space creature | black hole 
abode | dwelling | situation | throne | hindrance 
resource | available supply | protection | urgent claim | origin
whiplash | neck injury | deep gash | rope burn | back fracture 
flippancy | frivolous disrespect | alertness | amusing irony | informality 
swashbuckling | daring | idealistic | drably dressed | romantic 
scrounge | search around | crouch | cry out | scrape
caulk | make watertight | wipe off | stain | fasten
stamina | staying power | eagerness | intensity | criterion 
undergird | give support | wear away | prepare | evade
dotty | eccentric | loving | humorous | unpredictable 
barbaric | uncivilized | large | simple | original
anchor | newscaster | chief executive | savings account | archbishop 
